Algorithm,Group,Config,Run,SSE,Silhouette
K-Means,Baseline,default,0,79.29450610913834,0.8041964077943253
K-Means,Baseline,default,1,79.29450610913834,0.8041964077943253
K-Means,Baseline,default,2,79.29450610913834,0.8041964077943253
K-Means,Baseline,default,3,79.29450610913834,0.8041964077943253
K-Means,Baseline,default,4,79.29450610913834,0.8041964077943253
K-Means,Baseline,default,5,79.29450610913834,0.8041964077943253
K-Means,Baseline,default,6,79.29450610913834,0.8041964077943253
K-Means,Baseline,default,7,79.29450610913834,0.8041964077943253
K-Means,Baseline,default,8,79.29450610913834,0.8041964077943253
K-Means,Baseline,default,9,79.29450610913834,0.8041964077943253
GA,PopSize,pop=20,0,82.08134487684592,0.8041964077943253
GA,PopSize,pop=20,1,80.42790643863171,0.8041964077943253
GA,PopSize,pop=20,2,83.72734803595478,0.8041964077943253
GA,PopSize,pop=20,3,84.08597108034735,0.8041964077943253
GA,PopSize,pop=20,4,82.91526503946329,0.8041964077943253
GA,PopSize,pop=20,5,82.7876925509036,0.8041964077943253
GA,PopSize,pop=20,6,83.55766678487464,0.8041964077943253
GA,PopSize,pop=20,7,83.10959649083239,0.8041964077943253
GA,PopSize,pop=20,8,444.4682408608633,0.5119494219690657
GA,PopSize,pop=20,9,82.89671986312003,0.8041964077943253
GA,PopSize,pop=50,0,81.05259422965744,0.8041964077943253
GA,PopSize,pop=50,1,81.53633400396274,0.8041964077943253
GA,PopSize,pop=50,2,82.42164349601094,0.8041964077943253
GA,PopSize,pop=50,3,82.33842671029095,0.8041964077943253
GA,PopSize,pop=50,4,82.25245590677702,0.8041964077943253
GA,PopSize,pop=50,5,80.76231746310222,0.8041964077943253
GA,PopSize,pop=50,6,81.7868805870499,0.8041964077943253
GA,PopSize,pop=50,7,81.45513767293596,0.8041964077943253
GA,PopSize,pop=50,8,81.60526315583411,0.8041964077943253
GA,PopSize,pop=50,9,81.36715773462817,0.8041964077943253
GA,PopSize,pop=100,0,80.31644930572753,0.8041964077943253
GA,PopSize,pop=100,1,81.35169022401081,0.8041964077943253
GA,PopSize,pop=100,2,81.4679599014786,0.8041964077943253
GA,PopSize,pop=100,3,80.80656252665088,0.8041964077943253
GA,PopSize,pop=100,4,81.01006832983391,0.8041964077943253
